Crop_Year,State,District,Crop,Yield,Crop_Cat,Area,Production
2017,Madhya Pradesh,Betul,Rice,1.758,Rice,45000.0,79110.0
2010,Madhya Pradesh,Rajgarh,Rice,0.8,Rice,500.0,400.0
2011,Madhya Pradesh,Rajgarh,Rice,0.83333,Rice,600.0,500.0
2012,Madhya Pradesh,Rajgarh,Rice,0.80952,Rice,420.0,340.0
2013,Madhya Pradesh,Rajgarh,Rice,0.66667,Rice,360.0,240.0
2014,Madhya Pradesh,Rajgarh,Rice,0.67,Rice,1000.0,670.0
2015,Madhya Pradesh,Rajgarh,Rice,1.33,Rice,1000.0,1330.0
2016,Madhya Pradesh,Rajgarh,Rice,2.66,Rice,1000.0,2660.0
2017,Madhya Pradesh,Rajgarh,Rice,0.6487,Rice,1150.0,750.0
2010,Madhya Pradesh,Shajapur,Rice,1.0,Rice,100.0,100.0
2011,Madhya Pradesh,Shajapur,Rice,1.0,Rice,100.0,100.0
2012,Madhya Pradesh,Shajapur,Rice,0.57143,Rice,70.0,40.0
2013,Madhya Pradesh,Shajapur,Rice,0.5,Rice,40.0,20.0
2017,Madhya Pradesh,Shajapur,Rice,0.8,Rice,50.0,40.0
2010,Madhya Pradesh,Hoshangabad,Rice,2.3070500000000003,Rice,24100.0,55600.0
2011,Madhya Pradesh,Hoshangabad,Rice,2.01154,Rice,26000.0,52300.0
2012,Madhya Pradesh,Hoshangabad,Rice,2.05458,Rice,30050.0,61740.0
2013,Madhya Pradesh,Hoshangabad,Rice,1.57703,Rice,41800.0,65920.0
2014,Madhya Pradesh,Hoshangabad,Rice,1.85117,Rice,103000.0,190670.0
2015,Madhya Pradesh,Hoshangabad,Rice,2.8528800000000003,Rice,111000.0,316670.0
2016,Madhya Pradesh,Hoshangabad,Rice,2.30049,Rice,122000.0,280660.0
2017,Madhya Pradesh,Hoshangabad,Rice,2.28545,Rice,136800.0,312650.0
2010,Andhra Pradesh,Srikakulam,Rice,1.28212,Rice,279720.0,358640.0
2011,Andhra Pradesh,Srikakulam,Rice,1.97175,Rice,272700.0,537700.0
2012,Andhra Pradesh,Srikakulam,Rice,2.5370100000000004,Rice,271630.0,689110.0
2013,Andhra Pradesh,Srikakulam,Rice,1.9146400000000001,Rice,261529.99999999997,500730.0
2014,Andhra Pradesh,Srikakulam,Rice,2.25158,Rice,272510.0,613590.0
2015,Andhra Pradesh,Srikakulam,Rice,2.45996,Rice,270130.0,664520.0
2016,Andhra Pradesh,Srikakulam,Rice,2.98793,Rice,268400.0,801970.0
2017,Andhra Pradesh,Srikakulam,Rice,2.6357600000000003,Rice,279150.0,735770.0
2010,Andhra Pradesh,Visakhapatnam,Rice,2.04045,Rice,184320.0,376100.0
2011,Andhra Pradesh,Visakhapatnam,Rice,1.7408599999999999,Rice,174410.0,303620.0
2012,Andhra Pradesh,Visakhapatnam,Rice,1.87371,Rice,166650.0,312240.0
